vendor_name,contract_value,category,payment_terms,account_manager,status
Garner Research Group,175000,Market Research,Net-30,John Baker,Active
Microsoft Corp,650000,Software Licensing,Net-30,Alex Wong,Active
Deloite Consulting,460000,Management Consulting,Net-30,Sarah Mitchell,Active
Boston Consulting Grp,480000,Strategy Consulting,Net-30,Tom Richards,Active
Ernst and Young Global,340000,Management Consulting,Net-30,Tom Richards,Active
Oracle Systems,420000,Database Solutions,Net-45,Linda Park,Inactive
McKinsey and Company,560000,Strategy Consulting,Net-45,Sarah Mitchell,Active
KPMG Advisery Services,380000,Financial Audit,Net-45,Tom Richards,Active
International Business Machines Inc,880000,Technology,Net-60,Alex Wong,Active
SAP America,310000,ERP Software,Net-45,Linda Park,Active
Price Waterhouse Coopers,290000,Financial Audit,Net-60,John Baker,Active
Accenture Technologies,520000,IT Consulting,Net-30,Sarah Mitchell,Active
